Authors,Title,Year,Venue,Topic model,Supported task,Details of the supported task,Type of data,Document,Length of document,"Where ""length"" is mentioned",Parameter k,Parameter alpha,Parameter beta,Other parameters,Resolving negations,Correcting typos,Expanding contractions,Resolving synonyms,Splitting sentences or a document into n documents,Lemmatizing,Identifying n-grams,Lowercasing,Tokenizing,Splitting words,Stemming,Removing empty documents,Removing long paragraphs,Removing short documents,Removing extra white space,Removing non-informative content,"Removing words shorter than four, three or two letters",Removing least frequent terms,Removing most frequent terms,Removing code snippets,Removing HTML tags,Removing programming language keywords,Removing symbols and special characters,Removing punctuation,Removing stop words,Remove URL,Remove numbers,Topic naming approach,Topic naming procedure,Type of contribution,Other techniques combined,Outcome detail
"Naguib, H; Narayan, N; Brugge, B; Helal, D",Bug report assignee recommendation using activity profiles,2013,MSR,LDA (GS); Support Vector Machines (SVM) [classification algorithm],Bug handling,Bug-fix assignment,Issue/bug report,Text with a bug report (title; description and system component information),,,10,50/k,0.01,,,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,1,,,Approach; Comparison,,Technique
"Moslehi, P; Adams, B; Rilling, J",Feature Location Using Crowd-Based Screencasts,2018,MSR,LDA (GS),Documentation,Localization [features],Transcript text from speech,Text containing GUI and/or speech information,,Mention on limitations of study,80,50/k,0.01,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,1,,,Approach,,Technique
"Moslehi, P; Adams, B; Rilling, J",On Mining Crowd-Based Speech Documentation,2016,MSR,LDA (GS),Documentation,Documentation [extraction/augmenting],Transcript text from speech,Text containing a screencast transcript,Screencast length: 1 to 10 minutes,Mention on results of study,20,50/k,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,,Automatic Technique
"Martin, W; Harman, M; Jia, Y; Sarro, F; Zhang, Y",The App Sampling Problem for App Store Mining,2015,MSR,LDA (GS),Bug handling,Localization [concerns],End user communication,Text containing a user review or an app description,,,100,50/k,0.01,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,Manual,Predetermined labels,Exploration,,"""We show that by appropriate data reduction of user reviews to a subset of user requests, we can learn important results through correlation analysis. For example, we find a strong inverse linear correlation between the prevalence of topics in apps and user requests."""
"Bajracharya, S K; Lopes, C V",Mining search topics from a code search engine usage log,2009,MSR,LDA,Exploratory study,Exploring information needs in developer communication,Search query,Text with a collection of queries made by a user,,,50,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,"""This paper presents a general categorization of these topics that provides insights on the different ways code search engine users express their queries. The findings support the conclusion that existing code search engines provide only a subset of the various information needs of the users when compared to the categories of queries they look at."""
"Nguyen, A T; Nguyen, T T; Nguyen, T N; Lo, D; and Sun; C",Duplicate Bug Report Detection with a Combination of Information Retrieval and Topic Modeling,2012,ASE,LDA,Bug handling,Detection of duplicates [bugs],Issue/bug report,Text with a bug report; which has a description and summary,,Mention on study design - technique description,{100-320},50/k,0.01,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,Approach,Information extraction technique,Technique (Duplicate Bug report Topic Model - DBTM)
"Nguyen, A T; Nguyen, T T; Al-Kofahi, J; Nguyen, H V; Nguyen, T N",A Topic-based Approach for Narrowing the Search Space of Buggy Files from a Bug Report,2011,ASE,BugScout,Bug handling,Localization [concerns],Source code,Text containing  a source code file (comments; names and identifiers),,,300,0.01,0.01,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,Approach,,Tool (BugScout)
"Bagherzadeh, M; Khatchadourian, R",Going Big: A Large-scale Study on What Big Data Developers Ask,2019,ESEC FSE,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text containing a Stack Overflow post about big data,,,30,50/k,0.01,i = 1000,,,,,,,,,,,1,,,,,,,,,1,1,,1,1,1,,1,Manual,Authors' deduction based on word clusters,Exploration,,"""To conduct the study, we develop a set of big data tags to extract big data posts from Stackoverflow; use topic modeling to group these posts into big data topics; group similar topics into categories to construct a topic hierarchy; analyze popularity and difficulty of topics and their correlations; and discuss implications of our findings for practice, research and education of big data software development and investigate their coincidence with the findings of previous work"""
"Murali, V; Chaudhuri, S; Jermaine, C",Bayesian Specification Learning for Finding API Usage Errors,2017,ESEC FSE,LDA (GS),Bug handling,Detection of duplicates [bugs],End user documentation,Text containing an app description (set of features),,,15,0.1,,eta = 1/|Σ|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach; Comparison,Probabilistic Behavior Model; Artificial Neural Networks,Framework (Salento)
"Ahmed, S; Bagherzadeh, M",What Do Concurrency Developers Ask About?: A Large-scale Study Using Stack Overflow,2018,ESEM,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text containing a Stack Overflow post - tagged as concurrent,,,30,50/k,0.01,i = 1000,,,,,,,,,,,1,,,,,,,,,1,1,,1,1,1,1,1,Manual,Authors' deduction based on word clusters,Exploration,,"""(1) Developers ask questions about a broad spectrum of concurrency topics ranging from multithreading to parallel computing, mobile concurrency to web concurrency and memory consistency to runtime speedup. (2) These questions can be grouped into a hierarchy with eight major categories: concurrency models, programming paradigms, correctness, debugging, basic concepts, persistence, performance and GUI. (3) Developers ask more about correctness of their concurrent programs than performance. (4) Concurrency questions about thread safety and database management systems are among the most popular and the most difficult, respectively. (5) Difficulty and popularity of concurrency topics are negatively correlated."""
"Xia, X; Lo, D; Ding, Y; Al-Kofahi, J M; Nguyen, T N; Wang, X",Improving Automated Bug Triaging with Specialized Topic Model,2017,TSE,MTM,Bug handling,Triaging/characterization [bugs],Issue/bug report,Text with a bug report (bug ID; bug fixer; summary text; description text; product and component),,Mention on study design - technique description,k to be 1-15 percent of the number of distinct terms in a training dataset,50/k,0.01,i = 500,,,,,,,,,1,,1,,,,,,,1,,,,,,,1,,,,,Approach; Comparison,,Technique (MTM + TopicMiner)
"Bavota, G; Oliveto, R; Gethers, M; Poshyvanyk, D; De Lucia, A",Methodbook: Recommending move method refactorings via relational topic models,2014,TSE,RTM,Refactoring,Refactoring,Source code,Text with comments posted on source code; Text with several methods of a software,,Mention on study design - evaluation of technique,75,0.1,1,eta = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,,Technique; Cookbook
"Damevski, K; Chen, H; Shepherd, D C; Kraft, N A; Pollock, L",Predicting Future Developer Behavior in the IDE Using Topic Models,2018,TSE,LDA,Coding,Prediction [developer behavior],Log information,Text with 25 interaction events (e.g.; most clicks) and commands executed over a contiguous time interval,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,,Technique
"B. Dit, M. Revelle, and D. Poshyvanyk","Integrating information retrieval, execution and link analysis algorithms to improve feature location in software",2013,EMSE,LSI,Documentation,Localization [features],Source code and Search query,Text with several methods of a software; Text with a collection of search queries used in software repository,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,Approach,,Technique
"Hindle, A; Ernst, N A; Godfrey, M W; Mylopoulos, J",Automated topic naming: supporting cross-project analysis of software maintenance activities,2013,EMSE,LDA,Documentation,Documentation [artifacts labelling],Commit messages,Text with commit comments posted in a 30-day period,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,Mixed,Predetermined labels,Approach,Classification (multi-label),Semi-automatic Technique
"Xia, X; Bao, L; Lo, D; Kochhar, P S; Hassan, A E; Xing, Z",What do developers search for on the web?,2017,EMSE,LDA,Exploratory study,Exploring information needs in developer communication,Search query,"Text with a search query (i.e.; ""how to use git"")",,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,"""We find that searching for explanations for unknown terminologies, explanations for exceptions/error messages (e.g., HTTP 404), reusable code snippets, solutions to common programming bugs, and suitable third-party libraries/services are the most frequent search tasks that developers perform, while searching for solutions to performance bugs, solutions to multi-threading bugs, public datasets to test newly developed algorithms or systems, reusable code snippets, best industrial practices, database optimization solutions, solutions to security bugs, and solutions to software configuration bugs are the most difficult search tasks that developers consider."""
"Pagano, D; Maalej, W",How do open source communities blog?,2013,EMSE,LDA,Exploratory study,Exploring information needs in developer communication,Developer communication,Text containing a blog post,"Average of 273 words. ""Over 95% of all posts are shorter than 1,000 words, which corresponds to four printed pages""",Mention on study design - dataset description,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,Authors' deduction based on word clusters,Exploration,Sequential pattern mining,"""First, it gives empirical evidence on what a developer’s blog post typically looks like. Second, it explores usage patterns of blogs during development and identifies dependencies to other activities: in particular committing code and releasing software. Third, it gives first insights to tool vendors and practitioners into how to better integrate social media into development tools and processes."""
"Canfora, G; Cerulo, L; Cimitile, M; Di Penta, M",How changes affect software entropy: an empirical study,2014,EMSE,LDA,Refactoring,Refactoring,Commit messages,Text with a commit comment,Median of 9 to 20 words considering all projects,Mention on results of study,10,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,Exploration,,"""Results show that (i) as expected, refactorings mitigate the change entropy, i.e., changes occurring on a file after it underwent a refactoring exhibit a lower change entropy than changes occurring before the refactoring; (ii) files modified by a higher number of developers exhibit a higher change entropy; (iii) classes participating in certain design patterns, exhibit a lower change entropy than others, though this depends on the context in which the design pattern is used in a given system; and (iv) different kinds of changes exhibit different change entropy."""
"Noei, E; Zhang, F; Wang, S; Zou, Y",Towards prioritizing user-related issue reports of mobile applications,2019,EMSE,LDA,Bug handling,Prioritization [bugs],End user communication,Text with a user review,,Mention on study design - evaluation of technique,,,,,1,1,,1,,,1,,,,1,,,,,1,,,,,,,,,1,,,Manual,Authors' deduction based on word clusters,Approach,,Technique
"Ahasanuzzaman, M; Asaduzzaman, M; Roy, C K; Schneider, K A",CAPS: a supervised technique for classifying Stack Overflow posts concerning API issues,2019,EMSE,LDA (GS),Bug handling,Localization [concerns],Developer communication,Text with a Stack Overflow post related to an issue,,,40,50/k,0.01,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,Approach,Structured prediction,Technique (CAPS) [combine LDA and Conditional Random Field - CRF]
"Hu, H; Wang, S; Bezemer, C; Hassan, A E",Studying the consistency of star ratings and reviews of popular free hybrid Android and iOS apps,2019,EMSE,Twitter-LDA,Maintenance,Maintenance [versions consistency],End user communication,Text with a user review,"Average of characteres for user review: iOS 155,  Android 65",Mention on results of study,10,,,i = 1000,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,,Exploration,,"""while hybrid apps are better at providing consistent star ratings and user reviews when compared to cross- platform apps that are built natively, hybrid apps do not guarantee such consistency. Hence, developers should not solely rely on hybrid development tools to achieve consistency in the star ratings and reviews that are given by users of their apps. In particular, developers should track closely the ratings and reviews of their apps across platforms, so that they can act accordingly when platform-specific issues arise."""
"Hindle, A; Bird, C; Zimmermann, T; Nagappan, N",Do topics make sense to managers and developers?,2015,EMSE,LDA,Bug handling,Localization [concerns],End user documentation,Text with a requirement document,"""The average document was 20 pages long with an average word count of 3,800""",Mention on study design - dataset description,20,0.1,0.1,i = 1000,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,Manual,Authors' deduction based on word clusters,Exploration,,"""In summary, we investigate the high-level traceability of requirements topics and issue/bug report topics to version control commits via topic analysis and validate with the actual stakeholders the relevance of these topics extracted from requirements and issues."""
"Choetkiertikul, M; Dam, H K; Tran, T; Ghose, A",Predicting the delay of issues with due dates in software projects,2017,EMSE,LDA,Bug handling,Prediction [defects],Issue/bug report,Text with an issue description,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,,Automated Technique
"Ye, D; Xing, Z; Kapre, N",The structure and dynamics of knowledge network in domain-specific Q&A sites: a case study of stack overflow,2017,EMSE,LDA,Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Stack Overflow post (or knowledge unit),,,10,,,i = 1000,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,Exploration,,"""Through this study, we obtain an in-depth understanding of the knowledge diffusion process in Stack Overflow and expose the implications of URL sharing behavior for Q&A site design, developers who use crowdsourced knowledge in Stack Overflow, and future research on knowledge representation and search."""
"Bajracharya, S K; Lopes, C V",Analyzing and mining a code search engine usage log,2012,EMSE,LDA,Exploratory study,Exploring information needs in developer communication,Search query,Text with a collection of queries made by a user,,,50,0.5,0.1,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,,,,Manual,Predetermined labels,Exploration,,"""presents a general categorization of these topics that provides insights on the different ways code search engine users express their queries. It identifies various forms of queries in Koders’s log and the kinds of results addressed by the queries. It also provides several suggestions for improvements in code search engines based on the analysis of usage, topics, and query forms."""
"Li, H; Chen, T H (P); Shang, W; Hassan, A E",Studying software logging using topic models,2018,EMSE,LDA (GS),Maintenance,Maintenance [system usage/behavior],Source code,Text with a method,,,50,50/k,0.01,i = 10000,,,,,,,1,,1,,1,,,,,,,,,,,1,,,1,,,Manual,Most frequent words in word clusters,Exploration,,"""n this paper, we used automatically-computed topics of a code snip- pet to approximate the functionality of a code snippet. We studied the relationship between the topics of a code snippet and the likelihood of a code snippet being logged (i.e., to con- tain a logging statement). (...) Our findings highlight that topics contain valuable information that can help guide and drive developers’ logging decisions."""
"Thomas, S W; Hemmati, H; Hassan, A E; Blostein, D",Static test case prioritization using topic models,2014,EMSE,LDA (GS),Testing,Prioritization [test cases],Source code,Text with a test case,,,"(1) 42, (2) 39, (3) 42, (4) 48, (5) 21",0.1,0.1,i = 200,,,,,,,,,,1,1,,,,,,,,,,,1,1,,1,,1,,,Approach; Comparison,,Technique
"Le, T B; Thung, F; Lo, D",Will this localization tool be effective for this bug? Mitigating the impact of unreliability of information retrieval based bug localization tools,2017,EMSE,LDA,Bug handling,Prioritization [bugs],Issue/bug report,Text with a bug report (description and summary),,,"{5, 10, 15}",,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,Approach,Classification; Artificial Neural Networks,Tool (APRILE)
"McIlroy, S; Ali, N; Khalid, H; Hassan, A E",Analyzing and automatically labelling the types of user issues that are raised in mobile app reviews,2016,EMSE,LLDA,Bug handling,Localization [concerns],End user communication,Text containing a user review (title and comment),"Not mentioned. ""Average of characteres for user review: iOS 155,  Android 65"" - from H34",,30,0.1,0.1,i = 1500,,1,1,,,,,,,,1,,,,,,,1,,,,,1,,,,1,Automated,Predetermined labels,Approach,,Automated Technique
"Barua, A; Thomas, S W; Hassan, A E",What are developers talking about? An analysis of topics and trends in Stack Overflow,2014,EMSE,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Stack Overflow post,"""Posts length vary between 1 and 3,844 words. The majority of the posts (99.7%) are less than 500 words""",Mention on study design - dataset description,40,50/k,0.01,i = 500,,,,,,,,,,,1,,,,,,,,,1,1,1,,,1,,,Manual,Authors' deduction based on word clusters,Exploration,,"""We analyze these discovered topics, as well as their relationships and trends over time, to gain insights into the development community. Our analysis allows us to make a number of interesting observations, including: the topics of interest to developers range widely from jobs to version control systems to C# syntax; questions in some topics lead to discussions in other topics; and the topics gaining the most popularity over time are web development (especially jQuery), mobile applications (especially Android), Git, and MySQL."""
"Nayebi, M; Cho, H; Ruhe, G",App store mining is not enough for app improvement,2018,EMSE,LDA (GS),Bug handling,Localization [concerns],End user communication,Text with a user review,"""Google play: The average length of reviews in our dataset is 97 words with the median being 92 words. Twitter: The average length of tweets in our dataset is 28 words with the median being 34 words""",Mention on study design - dataset description,"{85, 170}",,,gamma = 0.6,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,Exploration,,"""From this, we found that tweets provided more critical and objective views on apps than reviews from the app store. These results show that app store review mining is indeed not enough; other information sources ultimately provide added value and information for app developers."""
"Rosen, C; Shihab, E",What are mobile developers asking about? A large scale study using stack overflow,2016,EMSE,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text containing a Stack Overflow title,,,40,50/k,0.01,"i = 10, 20, 900",,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,Authors' deduction based on word clusters,Exploration,,"""Our findings show that developers are asking about app distribution, mobile APIs, data management, sensors and context, mobile tools, and user interface development. We also determine what popular mobile-related issues are the most difficult, explore platform specific issues, and investigate the types (e.g., what, how, or why) of questions mobile developers ask."""
"Zhang, Y; Lo, D; Xia, X; Scanniello, G; Le, T B; Sun, J",Fusing multi-abstraction vector space models for concern localization,2018,EMSE,LDA-GA,Bug handling,Localization [concerns],Source code,Text with a method,,,100,50/k,0.01,i = 1000,,,,,,,,,,1,1,,,,,,,,,1,,1,1,1,1,,,,,Approach,Information extraction technique,Technique (MULAB)
"Bavota, G; Gethers, M; Oliveto, R; Poshyvanyk, D; De Lucia, A",Improving Software Modularization via Automated Analysis of Latent Topics and Dependencies,2014,TOSEM,RTM,Refactoring,Refactoring,Source code,Text of a class,,,75,0.1,1,eta = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,,Tool (Rational Refactoring via RTM - R3)
"Jiang, H; Zhang, J; Li, X; Ren, Z; Lo, D; Wu, X; Luo, Z",Recommending New Features from Mobile App Descriptions,2019,TOSEM,LDA,Requirements,Recommendation [new features],End user documentation,Text with an app description,,,60,0.1,0.1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,Approach; Comparison,Clustering,Tool (SAFER)
"Belle, A B; Boussaidi, G E; Kpodjedo, S",Combining lexical and structural information to reconstruct software layers,2016,IST,LDA (GS),Architecting,Architecture recovery,Source code,Text with a package of keywords,,,{10-50 by 5},50/k,0.01,i = 1000,,,,,,,,1,,1,1,,,,,,,,,,,1,,,,,,,,Approach,,Technique
"Zou, J; Xu, L; Yang, M; Zhang, X; Yang, D",Towards comprehending the non-functional requirements through Developers’ eyes: An exploration of Stack Overflow using topic analysis,2017,IST,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Stack Overflow post (title and body),,,20,2.5,0.01,i = 1000,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,Manual,Predetermined labels,Exploration,,"""(1) The developers mostly discuss usability and reliability while dis- cussing less on maintainability and efficiency. (2) The most unresolved problems also occurred in us- ability and reliability. (3) The visualization of the NFR evolutions over time shows the functionality and reliability attract more and more attention from developers and usability remains hot. (4) The NFRs in- vestigation in specific technologies indicates the quality is a similar concern among different technologies and some NFRs are of more interest as time progresses. (5) The research on NFRs difficulty in specific technologies shows the maintainability is the most difficult NFR. In addition, the trends of the NFRs dif- ficulty over time in the seven categories signal that we should focus more on usability to address them."""
"Sun, X; Li, B; Leung, H; Li, B; Li, Y",MSR4SM: Using topic models to effectively mining software repositories for software maintenance tasks,2015,IST,LDA-GA,Maintenance,Maintenance [tasks],Source code and Developer communication,Text with a bug report; Text with an e-mail,,,"(1) 102, (2) 324, (3) 55, (4) 496",,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,1,,,Approach,,Technique (MSR4SM)
"Pettinato, M; Gil, J P; Galeas, P; Russo, B",Log mining to re-construct system behavior: An exploratory study on a large telescope system,2019,IST,LDA,Maintenance,Maintenance [system usage/behavior],Log information,Text with a group of abstract messages that correspond to an SB (Scheduling Blocks),95 messages (test data set) and 221 messages (validation data set) average,Mention on study design - dataset description,9,50/k,0.1,,,,,,,,,1,,,1,,,,,,1,,,,,,,1,1,,1,Manual,Authors' deduction based on word clusters,Approach,,Technique
"Yang, X; Lo, D; Li, L; Xia, X; Bissyandé, T F; Klein, J",Characterizing malicious Android apps by mining topic-specific data flow signatures,2017,IST,LDA-GA,Architecting,Detection of malicious behavior,End user documentation,Text with an app description,,,118,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,1,1,,1,Manual,Authors' deduction based on word clusters,Approach,,Technique
"Abdellatif, T M; Capretz, L F; Ho, D",Automatic recall of software lessons learned for software project managers,2019,IST,LDA (GS); VSM; LSI,Maintenance,Maintenance [lessons learned],Issue/bug report and Lessons learned,Text with an issue description and its related lessons learned descriptions,,Mention on study design - dataset description,"{32, 64, 128, 256}",,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,Comparison; Exploration,Information extraction technique,
"Lukins, S K; Kraft, N A; Etzkorn, L H",Bug localization using latent Dirichlet allocation,2010,IST,LDA (GS),Bug handling,Localization [bugs],Source code,Text with a method,,,"{50, 100, 200, 250, 500}",50/k,0.01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Exploration,,
"Souza, L B L; Campos, E C; Madeiral, F; Paixão, K; Rocha, A M; Maia, M A",Bootstrapping cookbooks for APIs from crowd knowledge on Stack Overflow,2019,IST,LDA (GS),Documentation,Documentation [extraction/augmenting],Developer communication,Text with a Stack Overflow post (entire question and all answers related),,,15,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,,1,,,,,Approach,,Semi-automatic Technique; Cookbook; Participants evaluation
"Cao, B; Liu, X (F); Liu, J; Tang, M",Domain-aware Mashup service clustering based on LDA topic model from multiple data sources,2017,IST,DAT-LDA (GS),Architecting,Architecture [mashup-service selection],Developer documentation,Text with a mashup service info,,,{2-39},0.01,0.01,i = 2000,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,Approach; Comparison,Clustering,Technique
"Tantithamthavorn, C; Abebe, S L; Hassan, A E; Ihara, A; Matsumoto, K",The impact of IR-based classifier configuration on the performance and the effort of method-level bug localization,2018,IST,LDA (GS); VSM; LSI,Bug handling,Localization [bugs],Issue/bug report; Commit messages and Source code,Text with a bug report (description of a bug and affected entities); Text with several methods of a software,Bug report - 127 words (Eclipse) and 146 words (Mozilla) average; Method - 14 words (Eclipse) and 35 words (Mozilla) average ,Mention on study design - dataset description,"{32, 64, 128, 256}",,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,Comparison; Exploration,Information extraction technique,"""We find that (1) the choice of classifier configuration impacts the top-k performance from 0.44% to 36% and the required effort from 4395 to 50,000 LOC; (2) classifier configurations with similar top-k performance might require different efforts; (3) VSM achieves both the best top-k performance and the least required effort for method-level bug localization; (4) the likelihood of randomly picking a configuration that performs within 20% of the best top-k classifier configuration is on average 5.4% and that of the least effort is on average 1%; (5) configurations related to the entity representation of the analyzed data have the most impact on both the top-k performance and the required effort; and (6) the most efficient classifier configuration obtained at the method- level can also be used at the file-level (and vice versa)."""
